hcat4_code,hcat4_name,seasonality_code,seasonality_name
3310000000,arable_crops,0,NA
3310100000,cereal,0,NA
3310101000,common_soft_wheat,0,NA
3310101001,winter_common_soft_wheat,1,winter
3310101002,spring_common_soft_wheat,2,spring
3310102000,durum_hard_wheat,0,NA
3310102001,winter_durum_hard_wheat,1,winter
3310102002,spring_durum_hard_wheat,2,spring
3310102008,unspecified_season_durum_hard_wheat,8,unspecified
3310103000,rye,0,NA
3310103001,winter_rye,1,winter
3310103002,spring_rye,2,spring
3310104000,barley,0,NA
3310104001,winter_barley,1,winter
3310104002,spring_barley,2,spring
3310104008,unspecified_season_barley,8,unspecified
3310105000,oats,0,NA
3310105001,winter_oats,1,winter
3310105002,spring_oats,2,spring
3310105008,unspecified_season_oats,8,unspecified
3310106000,maize_corn_popcorn,0,NA
3310107000,rice,0,NA
3310108000,triticale,0,NA
3310108001,winter_triticale,1,winter
3310108002,spring_triticale,2,spring
3310109000,millet,0,NA
3310110000,spelt,0,NA
3310110001,winter_spelt,1,winter
3310110002,spring_spelt,2,spring
3310111000,mixed_grains,0,NA
3310111001,winter_mixed_grains,1,winter
3310111002,spring_mixed_grains,2,spring
3310112000,emmer,0,NA
3310112001,winter_emmer,1,winter
3310112002,spring_emmer,2,spring
3310112008,unspecified_season_emmer,8,unspecified
3310113000,einkorn,0,NA
3310113008,unspecified_season_einkorn,8,unspecified
3310115000,teff,0,NA
3310116000,sorghum,0,NA
3310198000,unspecified_cereals,0,NA
3310198001,winter_unspecified_cereals,1,winter
3310198002,spring_unspecified_cereals,2,spring
3310199000,other_cereals,0,NA
3310199001,winter_other_cereals,1,winter
3310199002,spring_other_cereals,2,spring
3310200000,legumes,0,NA
3310201010,beans,0,NA
3310201020,peanuts,0,NA
3310201030,soy_soybeans,0,NA
3310201040,chickpeas,0,NA
3310201060,fenugreek,0,NA
3310201070,lentils,0,NA
3310201080,peas,0,NA
3310201090,lupins,0,NA
3310201990,other_dry_pulses,0,NA
3310202010,alfalfa_lucerne,0,NA
3310202020,serradella,0,NA
3310202030,clover,0,NA
3310202040,melilot,0,NA
3310202050,vetches,0,NA
3310202060,onobrychis_sainfoins,0,NA
3310202070,galega,0,NA
3310202080,birdsfoot_treifoil,0,NA
3310202990,other_legumes_harvested_green,0,NA
3310299000,other_legumes,0,NA
3310300000,potatoes,0,NA
3310400000,sweet_potatoes,0,NA
3310600000,industrial_nonfood_crops,0,NA
3310601000,tobacco,0,NA
3310602000,hops,0,NA
3310603000,cotton,0,NA
3310604000,oilseed_crops,0,NA
3310604010,rapeseed_rape,0,NA
3310604011,winter_rapeseed_rape,1,winter
3310604012,spring_rapeseed_rape,2,spring
3310604020,sunflower,0,NA
3310604030,guizotia_abyssinica_nyger,0,NA
3310604990,other_oilseed_crops,0,NA
3310606000,poppy,0,NA
3310606001,winter_poppy,1,winter
3310606002,summer_poppy,2,spring
3310607000,flax_linseed,0,NA
3310610000,hemp_cannabis,0,NA
3310610010,finola,0,NA
3310611000,fibre_crops,0,NA
3310612000,aromatic_medicinal_culinary_plants_spices_herbs,0,NA
3310612010,actaea_baneberry_christopher_herbs,0,NA
3310612020,alchemilla_ladys_mantle,0,NA
3310612030,anethum_dill,0,NA
3310612040,angelica,0,NA
3310612050,anise_aniseed,0,NA
3310612060,artemisia,0,NA
3310612070,basil,0,NA
3310612080,black_cumin,0,NA
3310612090,borage,0,NA
3310612100,calendula_marigold,0,NA
3310612110,caraway,0,NA
3310612120,catnip,0,NA
3310612130,chamomile,0,NA
3310612140,chervil,0,NA
3310612150,coriander,0,NA
3310612170,galium_bedstraw,0,NA
3310612180,hibiscus,0,NA
3310612190,lavender_lavandula,0,NA
3310612200,lemon_balm_melissa,0,NA
3310612210,lovage_maggiplant,0,NA
3310612220,mints_peppermint,0,NA
3310612230,moldavian_dragonhead,0,NA
3310612240,nasturtiums,0,NA
3310612250,nettles,0,NA
3310612260,oregano,0,NA
3310612270,parsley,0,NA
3310612290,polygonum,0,NA
3310612300,rosemary,0,NA
3310612320,saffron_crocus_sativus,0,NA
3310612340,st_johns_wort,0,NA
3310612360,tarragon,0,NA
3310612370,thyme,0,NA
3310612380,valerian,0,NA
3310612390,yarrow,0,NA
3310612400,marian_thistles,0,NA
3310612990,other_aromatic_medicinal_culinary_plants_spices_herbs,0,NA
3310613000,rubia_tinctorum_common_madder,0,NA
3310614000,isatis_tinctoria_woad,0,NA
3310615000,camelina,0,NA
3310617000,energy_crops,0,NA
3310617010,igniscum_candy,0,NA
3310617020,sida_virginia_mallow,0,NA
3310617030,miscanthus_silvergrass,0,NA
3310617990,other_energy_crops,0,NA
3310699000,other_industrial_crops,0,NA
3310700000,fresh_vegetables,0,NA
3310701000,strawberries,0,NA
3310702000,cucurbits,0,NA
3310702010,cucumber_pickle,0,NA
3310702030,melon,0,NA
3310702040,pumpkin_squash_gourd,0,NA
3310702050,watermelon,0,NA
3310702060,zucchini_courgette,0,NA
3310702990,other_cucurbits,0,NA
3310703010,amaranth,0,NA
3310703020,buckwheat,0,NA
3310703030,quinoa,0,NA
3310703040,sage_chia,0,NA
3310704000,fennel,0,NA
3310705000,topinambur_jerusalem_artichoke,0,NA
3310706000,asparagus,0,NA
3310707000,brassicaceae_cruciferae,0,NA
3310707010,mustard,0,NA
3310707020,bok_choy_pak_choi,0,NA
3310707030,broccoli,0,NA
3310707040,brussels_sprouts,0,NA
3310707050,cauliflower,0,NA
3310707060,chinese_cabbage,0,NA
3310707070,collard_greens,0,NA
3310707080,gai_lan,0,NA
3310707090,kale,0,NA
3310707100,kohlrabi,0,NA
3310707110,red_cabbage,0,NA
3310707120,savoy_cabbage,0,NA
